 seq | path_seq | start_vid | end_vid | node  | edge  |        cost         |      agg_cost      
-----+----------+-----------+---------+-------+-------+---------------------+--------------------
   1 |        1 |      3986 |    8401 |  3986 |  4467 |   0.161133306860109 |                  0
   2 |        2 |      3986 |    8401 |  7780 | 16030 |    0.16936968062367 |  0.161133306860109
   3 |        3 |      3986 |    8401 |  9344 | 22447 |   0.485235111173952 |  0.330502987483778
   4 |        4 |      3986 |    8401 | 16395 | 17920 |      2.790644860804 |  0.815738098657731
   5 |        5 |      3986 |    8401 |  4291 |  8318 |    1.05176333800187 |   3.60638295946173
   6 |        6 |      3986 |    8401 |  1934 | 12769 |   0.222057483543295 |   4.65814629746359
   7 |        7 |      3986 |    8401 |  9579 | 13576 |    0.20002077408362 |   4.88020378100689
   8 |        8 |      3986 |    8401 | 11002 |   408 |   0.140462672376205 |   5.08022455509051
   9 |        9 |      3986 |    8401 |   671 |   709 |   0.556904603765521 |   5.22068722746671
  10 |       10 |      3986 |    8401 |  1183 |  5517 |   0.217508134907338 |   5.77759183123223
  11 |       11 |      3986 |    8401 |  9647 |   564 |    0.24488546060778 |   5.99509996613957
  12 |       12 |      3986 |    8401 |   923 |  6391 |   0.280879549846382 |   6.23998542674735
  13 |       13 |      3986 |    8401 | 11175 | 10676 |    0.25371610825345 |   6.52086497659373
  14 |       14 |      3986 |    8401 |  6014 | 21032 |   0.171654520135411 |   6.77458108484718
  15 |       15 |      3986 |    8401 | 15128 | 19869 |    0.15391335880932 |   6.94623560498259
  16 |       16 |      3986 |    8401 | 14097 | 17088 |   0.280780130034953 |   7.10014896379191
  17 |       17 |      3986 |    8401 | 10853 | 15494 |   0.627264094849782 |   7.38092909382687
  18 |       18 |      3986 |    8401 |  5975 | 22047 |    1.51327137371649 |   8.00819318867665
  19 |       19 |      3986 |    8401 | 16047 | 18650 |   0.638294888869524 |   9.52146456239313
  20 |       20 |      3986 |    8401 | 13009 | 16713 |    0.16539054818796 |   10.1597594512627
  21 |       21 |      3986 |    8401 |  1294 | 11128 |   0.177237891228691 |   10.3251499994506
  22 |       22 |      3986 |    8401 |  6779 | 14278 |    4.80192405840516 |   10.5023878906793
  23 |       23 |      3986 |    8401 | 12153 | 15669 |   0.937742123977812 |   15.3043119490845
  24 |       24 |      3986 |    8401 |  7146 | 15996 |  0.0856267311726189 |   16.2420540730623
  25 |       25 |      3986 |    8401 |  9150 |  9567 |   0.179801036477885 |   16.3276808042349
  26 |       26 |      3986 |    8401 |  4154 |  4192 |   0.136985015861821 |   16.5074818407128
  27 |       27 |      3986 |    8401 |  7295 |  4714 |    1.70584103732463 |   16.6444668565746
  28 |       28 |      3986 |    8401 |  8210 |  7817 |  0.0773346127471821 |   18.3503078938992
  29 |       29 |      3986 |    8401 |  1072 |  8665 |    1.43953888126824 |   18.4276425066464
  30 |       30 |      3986 |    8401 |  2565 |  4605 |   0.542103743249334 |   19.8671813879147
  31 |       31 |      3986 |    8401 |  8007 | 16445 |   0.530053299206911 |    20.409285131164
  32 |       32 |      3986 |    8401 | 11924 | 14995 |    1.73164611278677 |   20.9393384303709
  33 |       33 |      3986 |    8401 |  2845 | 14833 |    1.21987604262437 |   22.6709845431577
  34 |       34 |      3986 |    8401 |  1897 | 18665 |    1.28260132631578 |   23.8908605857821
  35 |       35 |      3986 |    8401 | 13023 | 20288 |   0.791362309747036 |   25.1734619120978
  36 |       36 |      3986 |    8401 | 14466 | 19629 |    1.06012518170321 |   25.9648242218449
  37 |       37 |      3986 |    8401 | 13885 | 18666 |   0.151521842041285 |   27.0249494035481
  38 |       38 |      3986 |    8401 | 13024 | 16719 |   0.662858781959016 |   27.1764712455894
  39 |       39 |      3986 |    8401 |  5861 | 15365 |   0.426637549603358 |   27.8393300275484
  40 |       40 |      3986 |    8401 |  5157 | 22180 |   0.210285774718142 |   28.2659675771517
  41 |       41 |      3986 |    8401 | 16170 | 18204 |  0.0407332655227849 |   28.4762533518699
  42 |       42 |      3986 |    8401 | 12632 | 16589 |   0.135998655862203 |   28.5169866173927
  43 |       43 |      3986 |    8401 |  3856 | 11059 |   0.275874382444124 |   28.6529852732549
  44 |       44 |      3986 |    8401 |  6682 |  5782 |  0.0578486920848432 |    28.928859655699
  45 |       45 |      3986 |    8401 | 10132 |  6782 |    1.32753872531642 |   28.9867083477838
  46 |       46 |      3986 |    8401 | 11897 |  7909 |    2.14328650428699 |   30.3142470731003
  47 |       47 |      3986 |    8401 |  1235 |  9487 |    1.33144283482052 |   32.4575335773872
  48 |       48 |      3986 |    8401 |  3993 | 16580 |   0.331723653709408 |   33.7889764122078
  49 |       49 |      3986 |    8401 | 12615 | 18185 |  0.0380565510302926 |   34.1207000659172
  50 |       50 |      3986 |    8401 |  7294 | 12810 |   0.436489909821736 |   34.1587566169475
  51 |       51 |      3986 |    8401 |  9648 | 16268 |    1.53783969798542 |   34.5952465267692
  52 |       52 |      3986 |    8401 | 10748 |  7241 |  0.0461752495622531 |   36.1330862247546
  53 |       53 |      3986 |    8401 |   144 |  4618 |   0.107953673235561 |   36.1792614743169
  54 |       54 |      3986 |    8401 |  8019 |  4815 |   0.318586139183357 |   36.2872151475524
  55 |       55 |      3986 |    8401 |  8401 |    -1 |                   0 |   36.6058012867358
  56 |        1 |      3986 |   12235 |  3986 |  2307 |  0.0879093504356578 |                  0
  57 |        2 |      3986 |   12235 |  7899 |  5959 |   0.405550388852438 | 0.0879093504356578
  58 |        3 |      3986 |   12235 | 10434 |  5960 |  0.0953072002067002 |  0.493459739288095
  59 |        4 |      3986 |   12235 |   302 |   291 |    3.62885065650794 |  0.588766939494795
  60 |        5 |      3986 |   12235 |   502 |  9097 |    0.68053805592633 |   4.21761759600273
  61 |        6 |      3986 |   12235 |  3329 | 16489 |    0.68554650782557 |   4.89815565192906
