 seq | path_seq | node  | edge  |        cost         |     agg_cost      |             name             |                                                                                         route_geom                                                                                         
  10 |       10 |  7568 |  3550 |  0.0176925448536345 | 0.673989803732087 | Bulevardul Nicolae Bălcescu  | 0102000020E610000002000000BCC3375ECB193A4082A8A047313846404EC4115AC5193A4085C9F90736384640
  11 |       11 |  6232 |  3551 |  0.0180827403054503 | 0.691682348585721 | Strada Demetru Ion Dobrescu  | 0102000020E610000002000000F547BD4CB9193A40E58FB3FA343846404EC4115AC5193A4085C9F90736384640
  12 |       12 |  9343 | 12618 |  0.0131499936202747 | 0.709765088891171 | Strada Demetru Ion Dobrescu  | 0102000020E610000002000000C43EA65AB0193A400F852A9034384640F547BD4CB9193A40E58FB3FA34384640
  13 |       13 |  4568 | 15267 | 0.00754724575591681 | 0.722915082511446 | Strada Demetru Ion Dobrescu  | 0102000020E6100000020000002BD43F2DAB193A400F852A9034384640C43EA65AB0193A400F852A9034384640
  14 |       14 |  8632 | 15920 |  0.0279496871795393 | 0.730462328267363 | Strada Demetru Ion Dobrescu  | 0102000020E610000002000000A6D7C11C98193A40B5673B4B353846402BD43F2DAB193A400F852A9034384640
  15 |       15 |  5391 |  3078 |  0.0402368683063498 | 0.758412015446902 | Strada Demetru Ion Dobrescu  | 0102000020E610000002000000C005D9B27C193A405BD4827236384640A6D7C11C98193A40B5673B4B35384640
  16 |       16 |  7993 |  5078 |  0.0807694761338516 | 0.798648883753252 | Intrarea Jean Georgescu      | 0102000020E610000002000000C005D9B27C193A405BD48272363846409111AB9A7B193A4077BB5E9A22384640
  17 |       17 |  8845 | 10599 |  0.0717709616247938 | 0.879418359887103 | Intrarea Jean Georgescu      | 0102000020E6100000020000009111AB9A7B193A4077BB5E9A223846409159620A7B193A406E089FF710384640
  18 |       18 |  5890 | 10750 |   0.118263316641752 | 0.951189321511897 | Intrarea Cristian Popișteanu | 0102000020E6100000020000009159620A7B193A406E089FF71038464037DB81DF2B193A404873BF9E0A384640
  19 |       19 |  6129 |  5821 |  0.0131947280385623 |  1.06945263815365 |                              | 0102000020E61000000200000037DB81DF2B193A404873BF9E0A3846401709128024193A40000341800C384640
  20 |       20 | 10177 |    69 |  0.0122406719549513 |  1.08264736619221 | Strada Academiei             | 0102000020E6100000020000001709128024193A40000341800C3846403912C3691C193A40652A0EB10B384640
  21 |       21 |    85 |    70 |  0.0721861894497039 |  1.09488803814716 | Strada Academiei             | 0102000020E610000002000000AA8E667627193A40680B6366FA3746403912C3691C193A40652A0EB10B384640
  22 |       22 |  8063 | 11872 |  0.0482852460115031 |  1.16707422759687 | Strada Ion Câmpineanu        | 0102000020E61000000200000097C0520207193A407B3A0D07F8374640AA8E667627193A40680B6366FA374640
  23 |       23 |  4557 |  9804 |   0.014534146173953 |  1.21535947360837 | Strada Ion Câmpineanu        | 0102000020E61000000200000055940156FD183A40FFA89729F737464097C0520207193A407B3A0D07F8374640
  24 |       24 |  2817 |  1895 |  0.0142297773534049 |  1.22989361978232 | Calea Victoriei              | 0102000020E61000000200000055940156FD183A40FFA89729F73746405A1DEF44FF183A40DDDE24BCF3374640
  25 |       25 |  3254 |   247 |  0.0422448642248112 |  1.24412339713573 | Calea Victoriei              | 0102000020E6100000020000005A1DEF44FF183A40DDDE24BCF337464097C0520207193A40E21C1ABBE9374640
  26 |       26 |   436 |  3181 |  0.0440726174942764 |  1.28636826136054 | Calea Victoriei              | 0102000020E61000000500000097C0520207193A40E21C1ABBE9374640E3AD4E290A193A402B37AC04E63746402A6E81A90B193A4020A9CF1FE437464059BED3090D193A40F1A0342FE2374640BD97B1570E193A40DB98E83DDF374640
  27 |       27 |  5561 | 11056 |  0.0184275393677263 |  1.33044087885481 | Calea Victoriei              | 0102000020E610000003000000BD97B1570E193A40DB98E83DDF3746401C5833D70E193A40AD904D4DDD37464022B946150F193A401F9A1EB9DA374640
  28 |       28 |  6675 |  6854 |  0.0607281803554729 |  1.34886841822254 | Calea Victoriei              | 0102000020E61000000200000022B946150F193A401F9A1EB9DA37464034B4A61E0E193A400F4CC9CDCB374640
  29 |       29 | 12021 |  1656 |  0.0281310487025279 |  1.40959659857801 | Calea Victoriei              | 0102000020E61000000300000034B4A61E0E193A400F4CC9CDCB374640C9E946B30D193A40CF3A996EC8374640E11170630E193A40A73D25E7C4374640
  30 |       30 |  2838 |  7332 |  0.0572532769499502 |  1.43772764728054 | Calea Victoriei              | 0102000020E610000002000000E11170630E193A40A73D25E7C43746406605758016193A403D5C1723B7374640
  31 |       31 |   279 |    -1 |                   0 |  1.49498092423049 |                              | 
(31 rows)

