 seq | path_seq | node  | edge  |       cost        |     agg_cost     
-----+----------+-------+-------+-------------------+------------------
   1 |        1 | 16826 | 18065 |  15.6329128635657 |                0
   2 |        2 | 11866 | 13272 |  6.05285469974612 | 15.6329128635657
   3 |        3 | 10421 | 10002 |  1.09783108683209 | 21.6857675633119
   4 |        4 |  4882 | 14659 | 0.329784193943254 |  22.783598650144
   5 |        5 |   854 | 14618 |  3.20266417899002 | 23.1133828440872
   6 |        6 |   545 |  1627 | 0.705500760177701 | 26.3160470230772
   7 |        7 |  2796 |  2179 | 0.186075976259171 | 27.0215477832549
   8 |        8 |  3715 |  3152 |  1.04917082940749 | 27.2076237595141
   9 |        9 |  5515 |  4350 |  1.23652028243591 | 28.2567945889216
  10 |       10 |  7568 |  3550 | 0.318465807365421 | 29.4933148713575
  11 |       11 |  6232 |  3551 |  0.54248220916351 | 29.8117806787229
  12 |       12 |  9343 | 12618 | 0.394499808608249 | 30.3542628878864
  13 |       13 |  4568 | 15267 | 0.226417372677504 | 30.7487626964947
  14 |       14 |  8632 | 15920 | 0.838490615386183 | 30.9751800691722
  15 |       15 |  5391 |  3078 |   1.2071060491905 | 31.8136706845584
  16 |       16 |  7993 | 11827 |  3.95552020916625 | 33.0207767337489
  17 |       17 |   501 |  8227 |  1.20274124978368 | 36.9762969429151
  18 |       18 |  1767 | 10118 |  1.14525933224996 | 38.1790381926988
  19 |       19 |  5078 |  8990 |  0.39407703347385 | 39.3242975249488
  20 |       20 |  3131 |  9235 | 0.164173134978359 | 39.7183745584226
  21 |       21 |  3571 | 13696 | 0.725999632642018 |  39.882547693401
  22 |       22 | 11189 | 16557 | 0.195429397101017 |  40.608547326043
  23 |       23 | 12514 | 15002 |  1.71694049214619 |  40.803976723144
  24 |       24 |  2884 | 19347 | 0.223428912663912 | 42.5209172152902
  25 |       25 | 13632 | 16931 | 0.306158424594283 | 42.7443461279541
  26 |       26 |  8751 | 16046 | 0.322143318599456 | 43.0505045525484
  27 |       27 |  9410 | 16069 | 0.146163417769425 | 43.3726478711478
  28 |       28 |  9587 | 15536 | 0.795617219713195 | 43.5188112889173
  29 |       29 |  6290 |  1644 |  1.40330966562967 | 44.3144285086305
  30 |       30 |  2817 |  1895 | 0.256135992353668 | 45.7177381742601
  31 |       31 |  3254 |   247 | 0.760407556054191 | 45.9738741666138
  32 |       32 |   436 |  3181 | 0.793307114896991 |  46.734281722668
  33 |       33 |  5561 | 11056 | 0.331695708619089 |  47.527588837565
  34 |       34 |  6675 |  6854 |  1.09310724639851 | 47.8592845461841
  35 |       35 | 12021 |  1656 | 0.506358876637808 | 48.9523917925826
  36 |       36 |  2838 |  7332 |  1.03055898508383 | 49.4587506692204
  37 |       37 |   279 |    -1 |                 0 | 50.4893096543042
(37 rows)

